 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.72,0.45,0.82,0.44,0.25,0.81,0.76,0.62,0.25,0.3,0.91,0.93,0.6,0.58,0.28,0.33,0.41,DST_145_F_SAD.csv
0.6,0.4,0.59,0.91,0.62,0.96,0.48,0.42,0.4,0.53,0.5,0.92,0.93,0.77,0.28,0.41,0.16,DST_147_F_ANG.csv
0.95,0.95,0.41,0.89,0.55,0.54,0.23,0.27,0.68,0.63,0.81,0.73,0.9,0.35,0.39,0.43,0.34,DST_115_M_FER.csv
0.9,0.56,0.88,0.63,0.42,0.61,0.26,0.69,0.43,0.66,0.94,0.88,0.59,0.52,0.4,0.51,0.52,DST_027_F_SAD.csv
0.58,0.65,0.21,0.64,0.33,0.36,0.46,0.27,0.49,0.5,0.47,0.52,0.52,0.64,0.37,0.8,0.44,DST_022_M_NUT.csv
0.78,0.93,0.42,0.99,0.22,0.32,0.34,0.28,0.29,0.01,0.32,0.73,0.18,0.4,0.83,0.93,0.27,DST_145_F_SUR.csv
0.75,0.73,0.65,0.53,0.53,0.46,0.46,0.37,0.67,0.45,0.58,0.64,0.51,0.39,0.36,0.41,0.38,DST_118_M_NUT.csv
0.78,0.93,0.36,0.98,0.35,0.5,0.15,0.21,0.47,0.45,0.71,0.62,0.78,0.56,0.4,0.5,0.35,DST_185_F_FER.csv
0.5,0.47,0.4,0.48,0.85,0.86,0.53,0.84,0.93,0.87,0.52,0.75,0.69,0.6,0.66,0.61,0.45,DST_027_F_HPY.csv
0.64,0.5,0.98,0.72,0.42,0.84,0.71,0.45,0.25,0.51,0.89,0.88,0.69,0.54,0.29,0.42,0.57,DST_130_F_SAD.csv
0.74,0.85,0.44,0.55,0.31,0.45,0.35,0.23,0.41,0.32,0.71,0.47,0.67,0.46,0.57,0.46,0.61,DST_142_F_NUT.csv
0.74,0.38,0.68,0.32,0.63,0.48,0.59,0.61,0.57,0.64,0.64,0.64,0.6,0.45,0.6,0.52,0.46,DST_083_M_NUT.csv
0.43,0.41,0.57,0.38,0.81,0.97,0.88,0.76,0.55,0.46,0.47,0.81,0.25,0.69,0.46,0.48,0.54,DST_131_F_DIS.csv
0.62,0.48,0.6,0.49,0.94,0.93,0.46,0.85,0.92,0.82,0.62,0.93,0.53,0.78,0.33,0.77,0.41,DST_030_M_HPY.csv
0.58,0.65,0.57,0.69,0.56,0.5,0.66,0.45,0.57,0.4,0.64,0.52,0.64,0.41,0.65,0.55,0.47,DST_091_M_NUT.csv
0.92,0.92,0.42,0.74,0.43,0.41,0.29,0.31,0.51,0.63,0.79,0.92,0.9,0.61,0.37,0.48,0.47,DST_122_M_FER.csv
